lemma;raw_count;freq_per_60_min
ütlema;2303;53.339
asi;1927;44.631
vaatama;1677;38.840
teadma;1501;34.764
inimene;1272;29.460
lihtsalt;1266;29.321
tegelikult;1264;29.275
no;1169;27.075
rääkima;1105;25.593
tahtma;1097;25.407
aeg;995;23.045
aasta;981;22.721
mõte;946;21.910
arvama;914;21.169
võtma;860;19.918
panema;838;19.409
lugu;822;19.038
hea;807;18.691
eesti;779;18.042
nägema;736;17.046
mõtlema;723;16.745
käima;702;16.259
hästi;613;14.197
kaks;536;12.414
nii-öelda;535;12.391
andma;524;12.136
aru;513;11.881
suur;509;11.789
jääma;475;11.001
kuulama;451;10.445
kuulma;451;10.445
teema;444;10.283
esimene;441;10.214
üldse;438;10.144
näide;415;9.612
kord;412;9.542
elu;407;9.426
uus;407;9.426
täna;406;9.403
okei;396;9.172
natuke;375;8.685
küsimus;371;8.593
täpselt;366;8.477
kindlasti;365;8.454
jõudma;352;8.153
saade;349;8.083
vana;346;8.014
hetk;342;7.921
päev;337;7.805
muusika;332;7.689
mees;325;7.527
meeldima;324;7.504
koht;322;7.458
küsima;316;7.319
mängima;312;7.226
onju;299;6.925
osa;298;6.902
maailm;298;6.902
kurat;295;6.832
töö;287;6.647
arust;282;6.531
jälle;277;6.416
väike;273;6.323
käsi;265;6.138
põhimõtteliselt;262;6.068
vaja;260;6.022
tunduma;256;5.929
erinev;255;5.906
äkki;253;5.860
tooma;252;5.836
mäletama;251;5.813
tekkima;243;5.628
huvitav;239;5.535
nimi;236;5.466
parem;235;5.443
kolm;233;5.396
tunne;228;5.281
oskama;227;5.257
näiteks;224;5.188
elama;223;5.165
tundma;223;5.165
kirjutama;213;4.933
laskma;211;4.887
film;209;4.841
õige;209;4.841
toimuma;209;4.841
raha;208;4.817
tähendama;206;4.771
natukene;204;4.725
ootama;204;4.725
viis;200;4.632
mäng;200;4.632
lugema;198;4.586
tee;191;4.424
juhtuma;187;4.331
leidma;186;4.308
suutma;184;4.262
pea;183;4.238
ühesõnaga;183;4.238
jutt;181;4.192
lõpuks;180;4.169
täis;177;4.099
viimane;176;4.076
kool;175;4.053
algus;173;4.007
kodu;170;3.937
vend;170;3.937
suurem;167;3.868
meel;167;3.868
lõpp;166;3.845
näitama;166;3.845
uskuma;164;3.798
samamoodi;162;3.752
töötama;161;3.729
keel;160;3.706
probleem;159;3.683
kuu;159;3.683
võimalus;158;3.659
sõna;158;3.659
võitma;157;3.636
kasutama;156;3.613
muutuma;155;3.590
kõva;155;3.590
proovima;153;3.544
maha;152;3.520
tehtud;151;3.497
ostma;148;3.428
võimalik;148;3.428
halb;147;3.405
juht;144;3.335
ilmselt;143;3.312
10;143;3.312
raske;143;3.312
aitama;142;3.289
hoidma;142;3.289
naine;141;3.266
number;141;3.266
pilt;140;3.242
tõmbama;140;3.242
õppima;139;3.219
absoluutselt;138;3.196
laps;136;3.150
sõber;134;3.104
nädal;134;3.104
eriti;133;3.080
tore;133;3.080
värk;132;3.057
tund;131;3.034
tegelema;131;3.034
armastus;131;3.034
lõpetama;130;3.011
olukord;129;2.988
viima;128;2.965
sõitma;128;2.965
sööma;127;2.941
noor;127;2.941
kaasa;127;2.941
saatma;124;2.872
terve;124;2.872
maa;123;2.849
pakkuma;122;2.826
paar;122;2.826
ilus;121;2.802
laul;120;2.779
eestlane;120;2.779
pikk;120;2.779
kinni;118;2.733
lahti;117;2.710
kogemus;117;2.710
vahe;115;2.663
täitsa;113;2.617
kindel;113;2.617
parim;111;2.571
kuulaja;110;2.548
valima;110;2.548
äge;109;2.525
alustama;109;2.525
jätma;109;2.525
neli;108;2.501
räpp;108;2.501
silm;108;2.501
lootma;107;2.478
kujutama;106;2.455
lihtne;105;2.432
ajama;104;2.409
loomulikult;103;2.386
liikuma;102;2.362
istuma;102;2.362
vähe;102;2.362
poiss;101;2.339
bakter;101;2.339
auto;99;2.293
klubi;99;2.293
tallinn;98;2.270
varem;98;2.270
raamat;98;2.270
tase;98;2.270
pärnu;98;2.270
muutma;97;2.247
tänane;96;2.223
üritama;96;2.223
lööma;95;2.200
kiri;95;2.200
korralik;95;2.200
muusik;95;2.200
idee;94;2.177
vanem;94;2.177
selge;94;2.177
kell;93;2.154
punkt;93;2.154
kutsuma;92;2.131
valmis;92;2.131
toode;92;2.131
otsima;91;2.108
protsent;91;2.108
päriselt;91;2.108
vastama;90;2.084
nõus;90;2.084
jumal;90;2.084
jaa;89;2.061
kaua;89;2.061
rahvas;88;2.038
oluline;88;2.038
kõlama;88;2.038
soovima;87;2.015
onu;87;2.015
positiivne;87;2.015
süda;87;2.015
riik;86;1.992
õhtu;85;1.969
maksma;85;1.969
