episode_id;section_index;gender;minutes;absolut_freq;freq_per_hour
20190102_esialgu_nimeta_podcast_ep_2;0;M;1.714;3;105.01750291715285
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit;2;M;21.29866666666667;1;2.817077751345937
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit;5;M;20.710666666666665;1;2.897057876778472
20190115_mehed_ei_nuta_kas_ott_tnak_peaks_olema_aeglasem_kas_lati_alt_jooksis_kullame_vi_klubi_omanik;2;M;14.613833333333332;1;4.105698938220637
20190204_63_saade__niad_helve_ja_liina_soovitavad_armastust_maagiaga_mitte_meelitada;0;F;36.162;2;3.3184005309440847
20190408_71_saade__klas_kis_veider_kerglane_hullumeelne_ja_leldse_defineerimatu_kaidi_karilaid;4;F;3.7001666666666666;1;16.215485788928426
20190904_bipolaarne_vandenud_1;3;M;23.900166666666664;1;2.510442744471796
20190908_bipolaarne_armastus_2;0;M;21.2325;1;2.82585658777817
20200124_114_saade__meisterpetaja_kristiina_raie_rgib_teekonnast_peale_keha_surma;2;F;28.689000000000004;2;4.182787828087419
20200505_episood_10__estpluatatsioon_november__malev;6;M;9.169000000000002;1;6.543788853746317
20200505_episood_10__estpluatatsioon_november__malev;10;M;4.069833333333334;1;14.742618452844093
20200505_episood_10__estpluatatsioon_november__malev;15;M;7.989833333333339;2;15.01908675608585
20200505_episood_10__estpluatatsioon_november__malev;17;M;7.306666666666668;1;8.211678832116787
20200730_heitlus_20ndates_podcast__osa_1_uus_algus;2;M;7.367333333333335;2;16.288118722287575
20200807_heitlus_20ndates_podcast__osa_2_gmnaasiumiaja_raskused;1;M;5.0169999999999995;2;23.91867649990034
20200807_heitlus_20ndates_podcast__osa_2_gmnaasiumiaja_raskused;4;M;2.881;1;20.826102047900036
20200920_tt_terav_teema_068_20092020;32;M;8.332166666666664;1;7.201008141139762
20201130_podcast_noorteaken_1__sissejuhatus;0;F;27.51133333333333;1;2.1809193786803016
20201213_podcast_noorteaken_2__kaasamine;3;F;26.543333333333337;2;4.5209092050734645
20210104_podcast_noorteaken_3__aktiivsus_vabatahtlik_t;2;F;28.132166666666667;2;4.265579733756732
20210313_episood_1_eesti_laul_aftekas__covidioodid;0;M;54.761;1;1.0956702762915214
20210321_episood_2__prgitelevisioon;0;M;41.82983333333333;1;1.4343829563429609
20210321_episood_2__prgitelevisioon;1;M;21.388166666666667;1;2.805289529256832
20210322_podcast_noorteaken_6__motivatsioon_eneseareng_ja_ajaplaneerimine;1;F;29.687333333333335;1;2.021063977903034
20210413_episood_4_kas_vanasti_oli_muusika_parem;3;M;17.469833333333334;1;3.4344918383117564
20210413_episood_4_kas_vanasti_oli_muusika_parem;4;M;12.370666666666663;1;4.850183229144213
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm;1;M;27.033;1;2.219509488403063
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm;2;M;8.717833333333333;1;6.882444032347487
20210422_episood_5_elu_surm_ja_kanade_lestus;0;M;83.633;2;1.4348403142300288
20210519_podcast_noorteaken_10__treening_toitumine_ning_tervis;5;F;21.693833333333338;1;2.765762928021019
20210603_mida_peaksid_teadma_enne_kinnisvaraostu;0;F;33.215333333333334;1;1.8063946370150332
20210701_kuidas_mratakse_iget_mgihinda_kinnisvarale;0;F;25.375;2;4.729064039408867
20210729_arco_akadeemia_podcast_kuidas_tsta_oma_kinnisvara_vrtust_lbi_kinnisvaralavastuse;0;F;31.861333333333334;2;3.7663207231335782
20210928_bipolaarne_muusika_8;1;M;40.22183333333333;2;2.983454259916878
20211018_234_spirituaalne_petaja_andrues_vana_vline_edu_on_sinu_sisemise_kpsuse_peegeldus;2;M;5.047333333333333;1;11.887465328226128
20211018_234_spirituaalne_petaja_andrues_vana_vline_edu_on_sinu_sisemise_kpsuse_peegeldus;5;M;10.847333333333337;1;5.531313379632473
20211221_podcast_noorteaken_14__killu_kolsar_kes_on_arengutreener;2;F;34.03616666666667;1;1.762830714387147
20220106_239_marius_vahter_ja_sven_kabanen_mikrobioomi_olulisusest_detoksist_ja_probiootikumidest;10;M;13.381833333333336;1;4.4836905755315035
20220106_239_marius_vahter_ja_sven_kabanen_mikrobioomi_olulisusest_detoksist_ja_probiootikumidest;24;M;7.124166666666664;1;8.422037665224005
20220106_239_marius_vahter_ja_sven_kabanen_mikrobioomi_olulisusest_detoksist_ja_probiootikumidest;27;M;12.972166666666665;2;9.250574948929119
20220106_239_marius_vahter_ja_sven_kabanen_mikrobioomi_olulisusest_detoksist_ja_probiootikumidest;31;M;12.477833333333336;1;4.808527121428665
20220203_dr_annika_uue_dr_aime_keis_kukkumise_traumadest_ja_emo_igapevasest_tst;0;F;23.404166666666665;1;2.563646074416949
20220206_kollektiivne_katk_14006022022;2;M;14.377;1;4.173332405926132
20220206_kollektiivne_katk_14006022022;6;M;15.423333333333334;1;3.8902096390749947
