lemma;raw_count;freq_per_60_min
inimene;1909;56.974
asi;1068;31.874
aeg;817;24.383
aasta;701;20.921
mõte;579;17.280
näide;494;14.743
elu;407;12.147
teema;398;11.878
töö;383;11.431
küsimus;358;10.684
päev;353;10.535
noor;325;9.700
aru;312;9.312
maakler;311;9.282
kord;291;8.685
kool;287;8.565
hetk;281;8.386
laps;263;7.849
võimalus;261;7.789
hind;250;7.461
kodu;242;7.222
koht;233;6.954
klient;212;6.327
mina;205;6.118
juht;202;6.029
korter;199;5.939
osa;192;5.730
mees;178;5.312
kogemus;172;5.133
naine;171;5.103
kinnisvara;169;5.044
valitsus;169;5.044
olukord;167;4.984
algus;163;4.865
maailm;160;4.775
raha;159;4.745
otsus;159;4.745
kuu;157;4.686
sõna;156;4.656
riik;155;4.626
käsi;151;4.507
keha;150;4.477
meel;148;4.417
energia;147;4.387
toit;141;4.208
nädal;140;4.178
probleem;138;4.119
tegevus;136;4.059
pilt;128;3.820
linn;126;3.760
õpetaja;126;3.760
ettevõte;126;3.760
hunt;124;3.701
maja;122;3.641
tervis;120;3.581
ostja;120;3.581
tunne;116;3.462
eesmärk;113;3.372
erakond;107;3.193
pea;105;3.134
protsent;104;3.104
silm;101;3.014
maa;101;3.014
abi;100;2.984
lõpp;100;2.984
lugu;99;2.955
tee;99;2.955
sõber;98;2.925
põhjus;98;2.925
mure;98;2.925
turg;96;2.865
pakkumine;93;2.776
projekt;93;2.776
noortekeskus;93;2.776
info;92;2.746
hommik;92;2.746
tund;90;2.686
objekt;90;2.686
ema;89;2.656
valdkond;89;2.656
kaart;89;2.656
äri;89;2.656
pool;88;2.626
saade;87;2.596
organisatsioon;87;2.596
kiri;84;2.507
piirang;83;2.477
suhe;83;2.477
samm;83;2.477
vastus;79;2.358
protsess;78;2.328
ühendus;78;2.328
suvi;77;2.298
noorsootöö;77;2.298
tehing;77;2.298
teadmine;76;2.268
nimi;74;2.209
tegemine;73;2.179
tähelepanu;72;2.149
õhtu;72;2.149
lahendus;72;2.149
huvi;71;2.119
väärtus;70;2.089
vajadus;70;2.089
müüja;70;2.089
soov;70;2.089
jutt;69;2.059
vara;69;2.059
pank;69;2.059
kuulaja;68;2.029
vahe;68;2.029
roll;68;2.029
kala;67;2.000
paik;66;1.970
number;66;1.970
ühiskond;66;1.970
episood;65;1.940
programm;65;1.940
toitumine;65;1.940
euro;65;1.940
keel;65;1.940
noortekas;63;1.880
perekond;63;1.880
valik;63;1.880
vastutus;62;1.850
piir;62;1.850
müük;62;1.850
koolitus;62;1.850
hingamine;62;1.850
president;61;1.821
palk;60;1.791
noorsootöötaja;59;1.761
plaan;59;1.761
idee;58;1.731
armastus;58;1.731
valimine;58;1.731
keskkond;56;1.671
õpilane;56;1.671
õigus;56;1.671
raamat;55;1.641
tänapäev;55;1.641
poliitika;55;1.641
liige;54;1.612
koroona;54;1.612
ruum;54;1.612
tööandja;54;1.612
emotsioon;54;1.612
tulevik;53;1.582
muutus;53;1.582
suund;53;1.582
piirkond;53;1.582
trenn;53;1.582
vesi;53;1.582
hing;52;1.552
tulemus;52;1.552
uks;52;1.552
tere;51;1.522
kriis;51;1.522
nõudlus;51;1.522
lisa;51;1.522
märk;51;1.522
klass;50;1.492
töötaja;50;1.492
kevad;49;1.462
malev;49;1.462
motivatsioon;48;1.433
soovitus;48;1.433
seisukoht;48;1.433
isa;47;1.403
riigikogu;47;1.403
viga;46;1.373
amet;46;1.373
seadus;46;1.373
kõne;45;1.343
liikumine;45;1.343
tasand;45;1.343
minut;45;1.343
uudis;45;1.343
pere;45;1.343
nipp;45;1.343
seis;44;1.313
süsteem;44;1.313
koer;44;1.313
uuring;44;1.313
jõud;43;1.283
laen;43;1.283
tänav;43;1.283
minister;43;1.283
büroo;43;1.283
trauma;43;1.283
külaline;42;1.253
kell;42;1.253
vanem;42;1.253
pluss;42;1.253
laud;42;1.253
liha;42;1.253
kursus;42;1.253
keskus;41;1.224
talv;41;1.224
haigus;41;1.224
kinnisvaramaakler;40;1.194
vaataja;39;1.164
mõju;39;1.164
abielu;39;1.164
viis;39;1.164
kinnisvaraturg;39;1.164
süda;39;1.164
toetus;39;1.164
nõu;39;1.164
mentor;39;1.164
meeskond;39;1.164
kohustus;39;1.164
haridus;39;1.164
päike;39;1.164
aspekt;38;1.134
praktika;38;1.134
koostöö;38;1.134
tugi;38;1.134
rahvas;38;1.134
sündmus;37;1.104
jumal;37;1.104
enamus;37;1.104
tase;37;1.104
hirm;37;1.104
rõõm;37;1.104
tükk;37;1.104
arendus;37;1.104
tagasiside;37;1.104
kontakt;37;1.104
mineraalaine;37;1.104
variant;36;1.074
kohtumine;36;1.074
hulk;36;1.074
põhiseadus;36;1.074
hinnang;36;1.074
bränd;36;1.074
punkt;36;1.074
loodus;35;1.045
õhk;35;1.045
spetsialist;35;1.045
kohus;35;1.045
pood;35;1.045
aine;34;1.015
periood;34;1.015
krunt;34;1.015
õnn;33;0.985
areng;33;0.985
juhtum;33;0.985
külg;33;0.985
trend;33;0.985
summa;33;0.985
grupp;33;0.985
loom;33;0.985
sotsiaalmeedia;33;0.985
täis;33;0.985
lause;33;0.985
hääl;32;0.955
positsioon;32;0.955
töökoht;32;0.955
vaktsineerimine;32;0.955
tuli;32;0.955
valu;32;0.955
kahju;31;0.925
arutelu;31;0.925
ülikool;31;0.925
astroloogia;31;0.925
patsient;31;0.925
tasakaal;30;0.895
väljakutse;30;0.895
vestlus;30;0.895
kasv;30;0.895
materjal;30;0.895
ruutmeeter;30;0.895
tingimus;30;0.895
tänu;30;0.895
reegel;30;0.895
vanus;30;0.895
üldjuht;30;0.895
poliitik;30;0.895
lapsevanem;30;0.895
arvamus;30;0.895
sõnum;30;0.895
mask;30;0.895
partner;30;0.895
tehnika;29;0.865
häälestus;29;0.865
arst;29;0.865
saamine;29;0.865
tegu;29;0.865
meedia;29;0.865
nägu;29;0.865
koduleht;29;0.865
karjäär;29;0.865
kanal;29;0.865
stuudio;28;0.836
nõid;28;0.836
jalg;28;0.836
maakond;28;0.836
kaasamine;28;0.836
leht;28;0.836
kõht;28;0.836
eriala;28;0.836
missioon;28;0.836
astroloog;28;0.836
tõsi;27;0.806
jama;27;0.806
kuju;27;0.806
vahend;27;0.806
teenus;27;0.806
kasu;27;0.806
majandus;27;0.806
arv;27;0.806
üüriturg;27;0.806
oskus;27;0.806
sein;27;0.806
viirus;27;0.806
palgalõhe;27;0.806
juus;27;0.806
porgand;27;0.806
mentorlus;27;0.806
gümnaasium;26;0.776
tõde;26;0.776
haigla;26;0.776
mood;26;0.776
selg;26;0.776
leping;26;0.776
omadus;26;0.776
terviseamet;26;0.776
pinge;26;0.776
kandidaat;26;0.776
ootus;26;0.776
kinnisvarabüroo;26;0.776
aken;25;0.746
küla;25;0.746
informatsioon;25;0.746
ülevaade;25;0.746
loomine;25;0.746
suhtlemine;25;0.746
märksõna;25;0.746
hooldekodu;25;0.746
suu;25;0.746
õpilasesindus;25;0.746
üritus;25;0.746
ala;25;0.746
kukkumine;25;0.746
loomaaed;25;0.746
