lemma;raw_count;freq_per_60_min
siis;3854;115.022
ka;3409;101.741
nii;1906;56.884
väga;1851;55.243
tegelikult;1553;46.349
ju;1329;39.664
kas;1246;37.187
palju;1051;31.367
seal;1029;30.710
nüüd;983;29.337
võib-olla;977;29.158
kuidas;969;28.920
noh;928;27.696
ikkagi;847;25.279
hästi;832;24.831
siin;783;23.368
juba;739;22.055
nii-öelda;676;20.175
kus;664;19.817
ära;660;19.698
veel;656;19.578
lihtsalt;656;19.578
praegu;620;18.504
just;614;18.325
mitte;587;17.519
kindlasti;555;16.564
eks;554;16.534
välja;546;16.295
jah;531;15.848
üldse;493;14.713
rohkem;486;14.505
täna;463;13.818
miks;417;12.445
kõige;412;12.296
niimoodi;408;12.177
tõesti;407;12.147
sinna;396;11.819
ikka;387;11.550
küll;358;10.684
edasi;325;9.700
näiteks;315;9.401
päris;315;9.401
ainult;280;8.357
vaja;279;8.327
sellepärast;276;8.237
natukene;276;8.237
kuidagi;276;8.237
täiesti;269;8.028
täpselt;261;7.789
kokku;250;7.461
isegi;243;7.252
kohe;242;7.222
natuke;240;7.163
alati;239;7.133
jälle;223;6.655
sealt;216;6.446
läbi;205;6.118
pigem;204;6.088
ette;201;5.999
tagasi;196;5.850
enam;190;5.671
üle;183;5.462
muidugi;180;5.372
ehk;169;5.044
kuskil;169;5.044
sisse;161;4.805
kunagi;158;4.715
loomulikult;152;4.536
siia;151;4.507
samamoodi;151;4.507
ei;144;4.298
juurde;140;4.178
vist;131;3.910
enne;129;3.850
kaasa;127;3.790
onju;119;3.552
kuhu;115;3.432
või;112;3.343
jällegi;110;3.283
samas;108;3.223
päriselt;106;3.164
üles;103;3.074
tavaliselt;101;3.014
lõpuks;101;3.014
eriti;100;2.984
iganes;99;2.955
vastu;98;2.925
maha;97;2.895
ühesõnaga;96;2.865
siit;93;2.776
äkki;91;2.716
ilmselt;90;2.686
koos;89;2.656
hoopis;88;2.626
kõigepealt;84;2.507
tihti;84;2.507
liiga;83;2.477
siiski;83;2.477
kiiresti;82;2.447
vahepeal;81;2.417
kinni;81;2.417
peale;81;2.417
