episode_id;section_index;gender;minutes;absolut_freq;freq_per_hour
20190101_mehed_ei_nuta_suur_uusaastasaade_absoluutne_tde_ehk_eelmise_spordiaasta_top25_edetabel;1;M;6.895333333333334;1;8.701537271584646
20190101_mehed_ei_nuta_suur_uusaastasaade_absoluutne_tde_ehk_eelmise_spordiaasta_top25_edetabel;4;M;70.77066666666666;3;2.543426655111346
20190102_58_saade__ajurveeda_edendaja_kaja_keil;0;F;43.91566666666667;4;5.465020076358475
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit;2;M;21.29866666666667;2;5.634155502691874
20190109_59_saade__astroloog_taimi_uuesoo_tutvustab_meile_13_thtkuju;1;F;41.34983333333333;1;1.451033659950262
20190115_mehed_ei_nuta_kas_ott_tnak_peaks_olema_aeglasem_kas_lati_alt_jooksis_kullame_vi_klubi_omanik;2;M;14.613833333333332;3;12.317096814661909
20190115_mehed_ei_nuta_kas_ott_tnak_peaks_olema_aeglasem_kas_lati_alt_jooksis_kullame_vi_klubi_omanik;6;M;20.665000000000003;1;2.9034599564481005
20190117_61_saade__veedatar_alexis_varnum_aitab_sul_leida_endale_ideaalse_maailma;0;F;41.64533333333333;1;1.4407376576807325
20190204_63_saade__niad_helve_ja_liina_soovitavad_armastust_maagiaga_mitte_meelitada;0;F;36.162;1;1.6592002654720424
20190307_67_saade_rgime_kogukonnast_kus_kik_mehed_on_naistele_truud;0;F;1.546;1;38.809831824062094
20190307_67_saade_rgime_kogukonnast_kus_kik_mehed_on_naistele_truud;1;F;5.028166666666667;1;11.93277868010209
20190408_68_saade__hingamisterapeudid_annavad_npuniteid_kuidas_end_terveks_ja_nnelikuks_hingata;0;F;39.77;1;1.5086748805632384
20190417_73_saade__risti_nia_maagilised_vlusnumid_rasketeks_hetkedeks;1;F;12.842666666666668;3;14.01578073089701
20190417_73_saade__risti_nia_maagilised_vlusnumid_rasketeks_hetkedeks;4;F;22.668166666666664;1;2.6468836621105956
20190904_bipolaarne_vandenud_1;0;M;10.242;1;5.858230814294083
20191223_arcopod_s1e1_leanika_2019;0;F;45.16716666666667;1;1.3283985786135208
20200105_episood_47__vilkurid_ja_lennukid;11;M;9.482666666666669;1;6.3273340832395935
20200105_episood_47__vilkurid_ja_lennukid;12;M;5.412166666666667;1;11.086133095186769
20200105_episood_47__vilkurid_ja_lennukid;28;M;7.664999999999994;1;7.827788649706465
20200105_episood_47__vilkurid_ja_lennukid;31;M;2.5273333333333388;1;23.7404378791875
20200105_episood_47__vilkurid_ja_lennukid;33;M;1.641000000000001;1;36.56307129798901
20200124_114_saade__meisterpetaja_kristiina_raie_rgib_teekonnast_peale_keha_surma;2;F;28.689000000000004;1;2.0913939140437097
20200408_kinnisvaraintervjuu_04_tnu_toompark_kinnisvarakool_ja_mart_saa_laam_kinnisvara;0;M;14.914666666666667;1;4.022885750044699
20200422_kinnisvaraintervjuu_07_tnu_toompark_kinnisvarakool_ja_andree_raid_raid__ko;1;M;6.617000000000002;1;9.06755327187547
20200426_6__ndala_soovitus_mine_roostikulinde_kuulama;0;M;5.1498333333333335;1;11.65086248745914
20200505_episood_10__estpluatatsioon_november__malev;15;M;7.989833333333339;2;15.01908675608585
20200826_riina_solman_ja_liina_kersna_roosast_kleidist_ja_riigi_vrikusest;0;F;32.030833333333334;1;1.8731950984728256
20201203_webinar_kinnisvaramaakleri_karjri_alustamine;0;F;3.020166666666667;1;19.86645328624248
20201213_podcast_noorteaken_2__kaasamine;5;F;10.43616666666666;1;5.7492374275356575
20201231_59_normaalse_elu_osa;5;M;37.325833333333335;1;1.607465785537273
20210104_podcast_noorteaken_3__aktiivsus_vabatahtlik_t;2;F;28.132166666666667;1;2.132789866878366
20210124_kiire_saade_086_24012021;24;M;3.221833333333332;1;18.622937251047546
20210201_keit_pentusrosimannus_autorollo_skandaalist;0;F;24.89816666666667;1;2.4098159837739055
20210208_jutud_rohelises_stuudios_osa_1_hardo_adamson;3;M;6.848999999999999;1;8.760402978537014
20210208_jutud_rohelises_stuudios_osa_1_hardo_adamson;6;M;3.2169999999999996;1;18.650917003419337
20210208_jutud_rohelises_stuudios_osa_1_hardo_adamson;10;M;12.87616666666667;1;4.659771930051645
20210220_podcast_noorteaken_4__vaimne_tervis;2;F;48.436166666666665;5;6.193718880863818
20210220_podcast_noorteaken_4__vaimne_tervis;4;F;37.53383333333333;4;6.394230982713375
20210305_podcast_noorteaken_5__anne_noortekeskus;1;F;26.269833333333334;2;4.567977210869248
20210313_episood_1_eesti_laul_aftekas__covidioodid;0;M;54.761;2;2.1913405525830427
20210318_webinar_ettevtja_kinnisvararis;1;F;6.0778333333333325;1;9.871939013354542
20210318_webinar_ettevtja_kinnisvararis;2;F;19.540166666666664;1;3.070598169582314
20210318_webinar_kinnisvaramaakleri_karjri_alustamine;0;F;25.348166666666668;1;2.3670350912952283
20210321_episood_2__prgitelevisioon;0;M;41.82983333333333;1;1.4343829563429609
20210321_episood_2__prgitelevisioon;1;M;21.388166666666667;1;2.805289529256832
20210322_podcast_noorteaken_6__motivatsioon_eneseareng_ja_ajaplaneerimine;1;F;29.687333333333335;2;4.042127955806068
20210405_podcast_noorteaken_7__nipid_isolatsioonis_toimetulekuks_ja_tuleviku_plaanide_tegemiseks;3;F;28.698666666666668;2;4.181378925850214
20210413_episood_4_kas_vanasti_oli_muusika_parem;2;M;24.133833333333335;1;2.4861363369543446
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm;5;M;17.14183333333333;1;3.5002090402621278
20210416_webinar_hetkeseis_kinnisvaraturul;2;F;12.289000000000003;1;4.882415168036454
20210419_171_saade_elujutoetaja_kairi_kuha;3;F;5.945000000000001;2;20.185029436501257
20210419_171_saade_elujutoetaja_kairi_kuha;5;F;23.804166666666664;1;2.520567127603711
