episode_id;section_index;gender;minutes;absolut_freq;freq_per_hour
20190101_mehed_ei_nuta_suur_uusaastasaade_absoluutne_tde_ehk_eelmise_spordiaasta_top25_edetabel;2;M;38.38016666666667;1;1.5633074374351335
20190101_mehed_ei_nuta_suur_uusaastasaade_absoluutne_tde_ehk_eelmise_spordiaasta_top25_edetabel;4;M;70.77066666666666;1;0.8478088850371153
20190102_esialgu_nimeta_podcast_ep_2;5;M;2.9161666666666664;2;41.149911413385155
20190102_esialgu_nimeta_podcast_ep_2;12;M;13.065;2;9.184845005740527
20190102_esialgu_nimeta_podcast_ep_2;13;M;14.116166666666665;1;4.250445706459497
20190102_esialgu_nimeta_podcast_ep_4;2;M;37.60733333333334;2;3.190867029480066
20190102_esialgu_nimeta_podcast_ep_4;4;M;4.514666666666669;1;13.290017720023622
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit;1;M;24.004166666666663;1;2.4995660475611876
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit;2;M;21.29866666666667;3;8.45123325403781
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit;5;M;20.710666666666665;1;2.897057876778472
20190115_mehed_ei_nuta_kas_ott_tnak_peaks_olema_aeglasem_kas_lati_alt_jooksis_kullame_vi_klubi_omanik;2;M;14.613833333333332;1;4.105698938220637
20190115_mehed_ei_nuta_kas_ott_tnak_peaks_olema_aeglasem_kas_lati_alt_jooksis_kullame_vi_klubi_omanik;5;M;8.005833333333332;3;22.483605704174046
20190115_mehed_ei_nuta_kas_ott_tnak_peaks_olema_aeglasem_kas_lati_alt_jooksis_kullame_vi_klubi_omanik;6;M;20.665000000000003;2;5.806919912896201
20190117_61_saade__veedatar_alexis_varnum_aitab_sul_leida_endale_ideaalse_maailma;0;F;41.64533333333333;1;1.4407376576807325
20190408_68_saade__hingamisterapeudid_annavad_npuniteid_kuidas_end_terveks_ja_nnelikuks_hingata;0;F;39.77;2;3.017349761126477
20190408_71_saade__klas_kis_veider_kerglane_hullumeelne_ja_leldse_defineerimatu_kaidi_karilaid;2;F;11.229833333333334;1;5.342910996007658
20190417_73_saade__risti_nia_maagilised_vlusnumid_rasketeks_hetkedeks;4;F;22.668166666666664;1;2.6468836621105956
20191223_arcopod_s1e1_leanika_2019;0;F;45.16716666666667;5;6.641992893067604
20200105_episood_47__vilkurid_ja_lennukid;9;M;2.5386666666666695;1;23.634453781512576
20200105_episood_47__vilkurid_ja_lennukid;11;M;9.482666666666669;1;6.3273340832395935
20200105_episood_47__vilkurid_ja_lennukid;27;M;2.711333333333338;1;22.129333661175277
20200105_episood_47__vilkurid_ja_lennukid;28;M;7.664999999999994;1;7.827788649706465
20200112_kekkonenis_takeover__041_12012020;30;M;1.6538333333333337;1;36.279351002720944
20200124_114_saade__meisterpetaja_kristiina_raie_rgib_teekonnast_peale_keha_surma;1;F;31.314666666666668;3;5.748105254193988
20200413_kinnisvaraintervjuu_05_tnu_toompark_kinnisvarakool_ja_neeme_liivlaid_goodson__red;2;M;3.281;1;18.28710758914965
20200413_kinnisvaraintervjuu_05_tnu_toompark_kinnisvarakool_ja_neeme_liivlaid_goodson__red;7;M;6.552999999999999;1;9.156111704562797
20200413_kinnisvaraintervjuu_05_tnu_toompark_kinnisvarakool_ja_neeme_liivlaid_goodson__red;8;M;2.2521666666666684;1;26.641012358469602
20200424_kinnisvaraintervjuu_08_tnu_toompark_kinnisvarakool_ja_kaspar_kajuvee_estateguru_o;0;M;16.410666666666668;2;7.312317192070197
20200505_episood_10__estpluatatsioon_november__malev;0;M;5.723666666666667;1;10.482790751849047
20200505_episood_10__estpluatatsioon_november__malev;17;M;7.306666666666668;1;8.211678832116787
20200505_episood_10__estpluatatsioon_november__malev;18;M;10.637833333333331;1;5.640246290754697
20200505_episood_10__estpluatatsioon_november__malev;20;M;7.633000000000008;1;7.8606052666055195
20200524_see_on_ikkagi_hiphopi_saade_056_24052020;6;M;7.1306666666666665;1;8.414360508601346
20200730_heitlus_20ndates_podcast__osa_1_uus_algus;1;M;1.8601666666666663;1;32.255174267538756
20201213_podcast_noorteaken_2__kaasamine;3;F;26.543333333333337;1;2.2604546025367322
20201213_podcast_noorteaken_2__kaasamine;4;F;9.696999999999996;1;6.187480664122927
20201213_podcast_noorteaken_2__kaasamine;5;F;10.43616666666666;1;5.7492374275356575
20201231_59_normaalse_elu_osa;3;M;7.0729999999999995;2;16.965926763749472
20201231_59_normaalse_elu_osa;5;M;37.325833333333335;4;6.429863142149092
20201231_59_normaalse_elu_osa;6;M;13.087999999999996;2;9.16870415647922
20210104_podcast_noorteaken_3__aktiivsus_vabatahtlik_t;2;F;28.132166666666667;3;6.398369600635097
20210131_klas_mc_olldaraba_bastadz_daraba_mob08731012021;3;M;20.593;1;2.9136114213567716
20210201_keit_pentusrosimannus_autorollo_skandaalist;0;F;24.89816666666667;1;2.4098159837739055
20210208_jutud_rohelises_stuudios_osa_1_hardo_adamson;4;M;5.677833333333333;1;10.567411277776147
20210208_jutud_rohelises_stuudios_osa_1_hardo_adamson;5;M;7.338666666666668;2;16.35174418604651
20210208_jutud_rohelises_stuudios_osa_1_hardo_adamson;9;M;6.332166666666671;2;18.950859368831086
20210208_jutud_rohelises_stuudios_osa_1_hardo_adamson;10;M;12.87616666666667;3;13.979315790154933
20210208_jutud_rohelises_stuudios_osa_1_hardo_adamson;12;M;4.0009999999999994;2;29.992501874531367
20210220_podcast_noorteaken_4__vaimne_tervis;2;F;48.436166666666665;2;2.477487552345527
20210220_podcast_noorteaken_4__vaimne_tervis;4;F;37.53383333333333;1;1.5985577456783437
20210305_podcast_noorteaken_5__anne_noortekeskus;1;F;26.269833333333334;4;9.135954421738496
20210313_episood_1_eesti_laul_aftekas__covidioodid;0;M;54.761;6;6.574021657749127
20210318_webinar_ettevtja_kinnisvararis;2;F;19.540166666666664;1;3.070598169582314
20210321_episood_2__prgitelevisioon;0;M;41.82983333333333;2;2.8687659126859217
20210322_podcast_noorteaken_6__motivatsioon_eneseareng_ja_ajaplaneerimine;1;F;29.687333333333335;1;2.021063977903034
20210404_episood_3_emoosekandid_ja_co2paraad;0;M;52.372166666666665;4;4.58258680660529
20210405_podcast_noorteaken_7__nipid_isolatsioonis_toimetulekuks_ja_tuleviku_plaanide_tegemiseks;3;F;28.698666666666668;3;6.27206838877532
20210413_episood_4_kas_vanasti_oli_muusika_parem;2;M;24.133833333333335;1;2.4861363369543446
20210413_episood_4_kas_vanasti_oli_muusika_parem;5;M;46.16899999999999;1;1.2995733067642794
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm;1;M;27.033;1;2.219509488403063
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm;4;M;10.882666666666667;2;11.026709139916687
20210416_webinar_hetkeseis_kinnisvaraturul;4;F;17.264666666666667;1;3.4753060200023165
20210419_171_saade_elujutoetaja_kairi_kuha;5;F;23.804166666666664;1;2.520567127603711
20210419_podcast_noorteaken_8__internetiturvalisus_kberkiusamine_ja_seksuaalne_vrkohtlemine;2;F;9.154666666666667;1;6.554034372269152
20210419_podcast_noorteaken_8__internetiturvalisus_kberkiusamine_ja_seksuaalne_vrkohtlemine;4;F;21.924166666666668;1;2.7367060701661026
20210422_episood_5_elu_surm_ja_kanade_lestus;0;M;83.633;5;3.587100785575072
20210502_sott_kihisev__korrrralik_jubileika_100_02052021;51;M;2.293833333333335;1;26.157087844219994
20210519_podcast_noorteaken_10__treening_toitumine_ning_tervis;4;F;3.9178333333333337;1;15.3145871442549
20210519_podcast_noorteaken_10__treening_toitumine_ning_tervis;5;F;21.693833333333338;1;2.765762928021019
20210603_mida_peaksid_teadma_enne_kinnisvaraostu;0;F;33.215333333333334;1;1.8063946370150332
20210614_14_mentorlusssteemi_loomine_organisatsioonis__stuudios_katri_jrine_ericsson_eesti_ja_tiiu_allikvee_fontes;1;F;27.909833333333335;1;2.1497799461360687
20210701_kuidas_mratakse_iget_mgihinda_kinnisvarale;0;F;25.375;2;4.729064039408867
20210729_arco_akadeemia_podcast_kuidas_tsta_oma_kinnisvara_vrtust_lbi_kinnisvaralavastuse;0;F;31.861333333333334;2;3.7663207231335782
20210827_arco_akadeemia_podcast__prnumaa_kinnisvaraturu_levaade;0;F;10.626666666666669;1;5.646173149309911
20210827_arco_akadeemia_podcast__prnumaa_kinnisvaraturu_levaade;1;F;10.880999999999998;2;11.02839812517232
20210827_arco_akadeemia_podcast__prnumaa_kinnisvaraturu_levaade;2;F;3.208999999999999;1;18.697413524462455
20210927_61_cancel_cancel_cancel;4;M;2.7818333333333336;1;21.568509975435862
20210927_61_cancel_cancel_cancel;5;M;19.703333333333333;1;3.0451700219928943
20210927_61_cancel_cancel_cancel;10;M;3.305000000000003;1;18.154311649016627
20210928_bipolaarne_muusika_8;1;M;40.22183333333333;1;1.491727129958439
20211018_234_spirituaalne_petaja_andrues_vana_vline_edu_on_sinu_sisemise_kpsuse_peegeldus;1;M;2.1978333333333335;1;27.299613255478874
20211018_234_spirituaalne_petaja_andrues_vana_vline_edu_on_sinu_sisemise_kpsuse_peegeldus;15;M;7.389833333333324;1;8.119262951352093
20211221_podcast_noorteaken_14__killu_kolsar_kes_on_arengutreener;2;F;34.03616666666667;4;7.051322857548588
20220104_mehed_ei_nuta_kontaveidi_fnnid_liialdasid_vehklejate_rappimisega_spordiaasta_suured_ksimused;1;M;15.986666666666665;1;3.753127606338616
20220104_mehed_ei_nuta_kontaveidi_fnnid_liialdasid_vehklejate_rappimisega_spordiaasta_suured_ksimused;3;M;25.564166666666665;3;7.04110571437885
20220106_239_marius_vahter_ja_sven_kabanen_mikrobioomi_olulisusest_detoksist_ja_probiootikumidest;21;M;5.381833333333338;1;11.148617261775717
20220203_dr_annika_uue_dr_aime_keis_kukkumise_traumadest_ja_emo_igapevasest_tst;0;F;23.404166666666665;1;2.563646074416949
20220204_tahad_elada_oma_unistuste_elu_need_kaks_naist_aitavad_sul_seda_saavutada;1;F;40.18816666666667;1;1.4929767883580989
20220206_kollektiivne_katk_14006022022;2;M;14.377;1;4.173332405926132
20220206_kollektiivne_katk_14006022022;18;M;40.13216666666667;1;1.4950600723442955
20220206_kollektiivne_katk_14006022022;26;M;13.609;2;8.817694172973768
20220216_kristina_kallas_eesti_200_ei_tegele_kersti_kaljulaiu_teemaga;0;F;20.730666666666668;1;2.8942629277077434
20220217_jrvamaa_ja_viljandimaa_kinnisvaraturu_levaade_ja_prognoos;3;F;21.296;1;2.817430503380917
20220220_podcast_noorteaken_15__anett_mnniste_tasuta_vlismaale;2;F;32.540166666666664;1;1.8438750057621096
20220222_annely_soots_tervislikust_ja_tisvrtuslikust_toitumisest;0;F;26.673;2;4.498931503767856
20220223_kersti_kaljulaid_kas_mu_silmad_plevad_vimujanust;0;F;25.137;1;2.386919680152763
20220304_prnumaa_ja_saarte_kinnisvaraturulevaade;0;F;11.884166666666667;2;10.097468620713833
20220304_prnumaa_ja_saarte_kinnisvaraturulevaade;2;F;2.0890000000000004;1;28.72187649593106
20220306_podcast_noorteaken_16__eva_maria_hanson_eluks_valmis;2;F;27.668166666666668;2;4.3371142528417135
20220308_sodiaagisosinad_07031303_tundekllane_ndalalpp_loob_unenolise_atmosfri;2;F;15.383333333333333;2;7.8006500541711805
